id_onderzoeker;id_data;lengte;breedte;sexse
1;1;16.3;9.1;vrouw
2;1;16.3;9;vrouw
1;2;16.4;9.9;vrouw
2;2;16.4;9.8;vrouw
1;3;16.6;9;vrouw
2;3;16.6;9;vrouw
1;4;16.8;9.2;vrouw
2;4;16.9;9.2;vrouw
1;5;18.7;9.3;vrouw
2;5;18.7;9.3;vrouw
1;6;17.3;9.7;vrouw
2;6;17.3;9.7;vrouw
1;7;17.5;9.2;vrouw
2;7;17.5;9.2;vrouw
1;8;17.7;8.6;vrouw
2;8;17.7;8.5;vrouw
1;9;17.8;9.8;vrouw
2;9;17.7;9.8;vrouw
1;10;17.8;9.8;vrouw
2;10;17.7;9.8;vrouw
1;11;17.8;9.6;vrouw
2;11;17.9;9.6;vrouw
1;12;17.9;9.6;vrouw
2;12;17.9;9.6;vrouw
1;13;18;9.6;vrouw
2;13;18;9.5;vrouw
1;14;18.3;9.7;vrouw
2;14;18.3;9.7;vrouw
1;15;18.4;9.9;vrouw
2;15;18.4;9.8;vrouw
1;16;19.3;9.9;vrouw
2;16;19.3;9.9;vrouw
1;17;17.4;9.1;vrouw
2;17;17.4;9;vrouw
1;18;17.7;9;vrouw
2;18;17.7;9;vrouw
1;19;18.3;9.6;vrouw
2;19;18.3;9.6;vrouw
1;20;18.7;10;vrouw
2;20;18.7;10;vrouw
1;22;19.7;10.5;man
2;22;19.8;10.6;man
1;23;19;10.7;man
2;23;19;10.8;man
1;24;19.5;10.4;man
2;24;19.5;10.4;man
1;25;20.2;11.2;man
2;25;20.3;11.2;man
1;26;19.4;10.4;man
2;26;19.4;10.4;man
1;27;18.6;10.5;man
2;27;18.6;10.4;man
1;28;18.7;9.7;man
2;28;18.6;9.8;man
1;29;18.6;9.8;man
2;29;18.6;9.9;man
1;30;19.8;10.6;man
2;30;19.8;10.6;man
1;31;20.6;11.4;man
2;31;20.7;11.4;man
1;32;21.2;11;man
2;32;21.2;11;man
1;33;19.4;10.5;man
2;33;19.4;10.3;man
1;34;18.6;10.6;man
2;34;18.6;10.6;man
1;35;20.5;9.8;man
2;35;20.4;9.8;man
1;36;18.5;9.6;man
2;36;18.5;9.6;man
1;37;18.4;9.5;man
2;37;18.4;9.4;man
1;38;18.7;10.4;man
2;38;18.6;10.4;man
1;39;20.4;10.5;man
2;39;20.4;10.5;man
1;40;19.6;8.7;man
2;40;19.5;8.7;man
1;41;18.5;11.4;man
2;41;18.5;11.4;man
1;42;18.9;10.8;man
